NacionalidadeEmbarcacao;Ano Acordo Bilateral;Total Acordo Bilateral;AcordoTipoNavegacao;País;FlagEmbarqueDesembarque
Não Informado;2010;1906211;1270003;Longo Curso;ARGENTINA;1
;2010;3160823;6960002;Longo Curso;ARGENTINA;1
Estrangeiras;2010;2158177;1970002;Longo Curso;ARGENTINA;1
Brasilieiras;2010;395849;45900001;Longo Curso;ARGENTINA;1
;2010;3011;25;Interior;ARGENTINA;1
Não Informado;2010;5974;871;Interior;ARGENTINA;1
Brasilieiras;2010;3083;82;Interior;ARGENTINA;1
Estrangeiras;2010;17796;83;Longo Curso;BULGÁRIA;1
Brasilieiras;2010;26;17;Longo Curso;BULGÁRIA;1
;2010;75671;973;Longo Curso;BULGÁRIA;1
Não Informado;2010;57995;942;Longo Curso;BULGÁRIA;1
Estrangeiras;2010;661723;616;Longo Curso;CHILE;1
Brasilieiras;2010;56125;985;Longo Curso;CHILE;1
Não Informado;2010;796561;256;Longo Curso;CHILE;1
;2010;747163;322;Longo Curso;CHILE;1
Não Informado;2010;2326871;575;Longo Curso;CHINA;1
Estrangeiras;2010;2708324;298;Longo Curso;CHINA;1
Brasilieiras;2010;972156;814;Longo Curso;CHINA;1
;2010;1479299;629;Longo Curso;CHINA;1
Estrangeiras;2010;1099878;285;Longo Curso;ALEMANHA;1
;2010;849777;988;Longo Curso;ALEMANHA;1
Não Informado;2010;738966;13500001;Longo Curso;ALEMANHA;1
Brasilieiras;2010;108364;593;Longo Curso;ALEMANHA;1
;2010;1557374;803;Longo Curso;ARGÉLIA;1
Não Informado;2010;736848;213;Longo Curso;ARGÉLIA;1
Estrangeiras;2010;869905;813;Longo Curso;ARGÉLIA;1
Não Informado;2010;108747;289;Longo Curso;FRANÇA;1
;2010;139583;641;Longo Curso;FRANÇA;1
Estrangeiras;2010;327110;881;Longo Curso;FRANÇA;1
Brasilieiras;2010;66983;19;Longo Curso;FRANÇA;1
;2010;154857;055;Longo Curso;POLÔNIA;1
Estrangeiras;2010;71140;695;Longo Curso;POLÔNIA;1
Não Informado;2010;186482;246;Longo Curso;POLÔNIA;1
Brasilieiras;2010;3079;593;Longo Curso;POLÔNIA;1
Não Informado;2010;164166;082;Longo Curso;PORTUGAL;1
;2010;46510;664;Longo Curso;PORTUGAL;1
Estrangeiras;2010;161487;64;Longo Curso;PORTUGAL;1
Brasilieiras;2010;1139;118;Longo Curso;PORTUGAL;1
Estrangeiras;2010;429;886;Longo Curso;ROMÊNIA;1
;2010;3854;418;Longo Curso;ROMÊNIA;1
Não Informado;2010;489;679;Longo Curso;ROMÊNIA;1
